filename,dist_s2r,dist_r2s,chamfer_value,asymmetry_value
viewpoint_simulated_0.pcd,3.67550347327576,3.794562589884848,7.470066063160608,0.11905911660908819
viewpoint_simulated_1.pcd,4.4828517694150065,3.9219950106841934,8.4048467800992,0.5608567587308131
viewpoint_simulated_2.pcd,4.051385534179157,3.2880484338463805,7.339433968025537,0.7633371003327762
viewpoint_simulated_3.pcd,5.021624986114568,4.309153846757508,9.330778832872076,0.71247113935706
viewpoint_simulated_4.pcd,3.8771551905876835,3.808733142164969,7.685888332752652,0.06842204842271471
viewpoint_simulated_5.pcd,5.042106015342489,4.391851974824056,9.433957990166544,0.6502540405184325
viewpoint_simulated_6.pcd,4.0045444301891315,3.5046054141135103,7.509149844302642,0.4999390160756212
viewpoint_simulated_7.pcd,4.5458334698364755,3.8654797435580224,8.411313213394498,0.6803537262784531
viewpoint_simulated_8.pcd,4.609222937200038,4.277342642992466,8.886565580192505,0.33188029420757204
viewpoint_simulated_9.pcd,5.46323478838937,4.491462212838688,9.954697001228059,0.9717725755506814
viewpoint_simulated_10.pcd,4.114926541007274,3.546188761248897,7.661115302256171,0.568737779758377
viewpoint_simulated_11.pcd,5.077777240026516,4.690207349504423,9.76798458953094,0.38756989052209345
viewpoint_simulated_12.pcd,4.359266512382175,3.993787321098629,8.353053833480804,0.36547919128354556
viewpoint_simulated_13.pcd,5.01104872920059,4.531977887737074,9.543026616937665,0.47907084146351586
viewpoint_simulated_14.pcd,4.063320494910441,3.4736226859674124,7.536943180877853,0.5896978089430283
viewpoint_simulated_15.pcd,5.09401516821055,4.478107444077893,9.572122612288442,0.6159077241326569
