filename,dist_s2r,dist_r2s,chamfer_value,asymmetry_value
viewpoint_simulated_0.pcd,18.085096455429333,6.335143920259757,24.42024037568909,11.749952535169577
viewpoint_simulated_1.pcd,13.631356299076053,5.330951826920925,18.962308125996977,8.300404472155128
viewpoint_simulated_2.pcd,10.842170172568157,6.6583081968937545,17.50047836946191,4.183861975674402
viewpoint_simulated_3.pcd,15.999615201177239,5.49433985900114,21.49395506017838,10.505275342176098
viewpoint_simulated_4.pcd,5.560133412314254,5.298005237137363,10.858138649451618,0.26212817517689135
viewpoint_simulated_5.pcd,4.445928888825755,4.128974234455031,8.574903123280786,0.3169546543707238
viewpoint_simulated_6.pcd,3.9052088265299725,3.65155204343088,7.556760869960852,0.25365678309909256
viewpoint_simulated_7.pcd,3.7557560369576937,3.414735347120432,7.170491384078126,0.34102068983726186
viewpoint_simulated_8.pcd,3.4515558330295515,4.61302906221655,8.064584895246101,1.1614732291869987
viewpoint_simulated_9.pcd,4.543226317998888,4.640649279539282,9.18387559753817,0.09742296154039387
viewpoint_simulated_10.pcd,8.05718755929288,6.272167323257721,14.3293548825506,1.7850202360351588
viewpoint_simulated_11.pcd,12.562648456260433,5.391623372168539,17.954271828428972,7.1710250840918945
viewpoint_simulated_12.pcd,4.037126435893164,3.2894191282628613,7.326545564156025,0.7477073076303027
viewpoint_simulated_13.pcd,6.612704961077315,3.6945794142733264,10.307284375350642,2.918125546803989
viewpoint_simulated_14.pcd,4.852100935467455,3.779911233645657,8.63201216911311,1.0721897018217978
viewpoint_simulated_15.pcd,7.7156313781879895,4.847773250317978,12.563404628505968,2.8678581278700115
viewpoint_simulated_16.pcd,4.253099973414362,3.4934113561075093,7.746511329521871,0.7596886173068529
viewpoint_simulated_17.pcd,4.736963337124444,3.532701211327899,8.269664548452344,1.2042621257965451
viewpoint_simulated_18.pcd,4.882743209901873,3.6633187659325,8.546061975834373,1.2194244439693733
viewpoint_simulated_19.pcd,3.543806419742641,3.0152311546682573,6.559037574410898,0.5285752650743838
viewpoint_simulated_20.pcd,3.226228605584078,3.1505399846770685,6.376768590261147,0.07568862090700934
viewpoint_simulated_21.pcd,4.252369216128299,4.317443181594141,8.56981239772244,0.06507396546584232
viewpoint_simulated_22.pcd,3.989762782217733,4.4677191001400685,8.4574818823578,0.4779563179223354
viewpoint_simulated_23.pcd,5.537912190664769,4.074331198887985,9.612243389552754,1.4635809917767837
viewpoint_simulated_24.pcd,4.437237425937117,3.5996331581782726,8.03687058411539,0.8376042677588447
viewpoint_simulated_25.pcd,4.801399459402253,3.4003046681859828,8.201704127588236,1.4010947912162703
viewpoint_simulated_26.pcd,4.985227332272007,3.46621471265751,8.451442044929518,1.5190126196144975
viewpoint_simulated_27.pcd,5.6425572924810385,4.225911723805054,9.868469016286092,1.4166455686759845
viewpoint_simulated_28.pcd,6.113320560149478,3.15028755351988,9.263608113669358,2.9630330066295976
viewpoint_simulated_29.pcd,5.232367083055188,3.3717716220497507,8.604138705104939,1.860595461005437
