filename,dist_s2r,dist_r2s,chamfer_value,asymmetry_value
viewpoint_simulated_0.pcd,7.0012143244390925,6.812376546760757,13.81359087119985,0.18883777767833543
viewpoint_simulated_1.pcd,3.3953489927131155,3.348640935554014,6.74398992826713,0.046708057159101646
viewpoint_simulated_2.pcd,3.1772365117122274,2.988721896241514,6.165958407953742,0.18851461547071358
viewpoint_simulated_3.pcd,4.125537059481407,3.530291699252196,7.655828758733604,0.5952453602292107
viewpoint_simulated_4.pcd,4.415291402298274,4.437743863747999,8.853035266046273,0.022452461449725014
viewpoint_simulated_5.pcd,3.5058215630968426,3.4035625972692505,6.909384160366093,0.10225896582759209
viewpoint_simulated_6.pcd,3.1515389101351947,3.11671640823014,6.268255318365335,0.03482250190505454
viewpoint_simulated_7.pcd,3.8208033794864074,3.839037809323976,7.6598411888103834,0.018234429837568733
viewpoint_simulated_8.pcd,10.461930165356097,7.561741970976993,18.02367213633309,2.900188194379105
viewpoint_simulated_9.pcd,4.273989186792812,3.8197509296678898,8.093740116460701,0.45423825712492194
viewpoint_simulated_10.pcd,3.5395513079107728,3.39192455090304,6.931475858813813,0.14762675700773276
viewpoint_simulated_11.pcd,4.682555784263641,4.503943416937139,9.18649920120078,0.17861236732650276
viewpoint_simulated_12.pcd,4.587500192643717,4.7581819061456905,9.345682098789407,0.17068171350197314
viewpoint_simulated_13.pcd,4.055005491353316,3.85103851638513,7.906044007738446,0.2039669749681856
viewpoint_simulated_14.pcd,3.2418535714728924,3.2136395764350385,6.455493147907931,0.028213995037853934
viewpoint_simulated_15.pcd,4.24569757432903,4.0472668532314895,8.29296442756052,0.1984307210975409
